iter	Passed	Remaining
398	239471	360707
399	240135	360203
400	240742	359613
401	241396	359092
402	241980	358467
403	242682	358016
404	243333	357490
405	243950	356913
406	244575	356346
407	245226	355818
408	245833	355226
409	246452	354651
410	247088	354100
411	247735	353563
412	248305	352918
413	248904	352314
414	249539	351761
415	250175	351208
416	250801	350640
417	251428	350075
418	252068	349526
419	252700	348966
420	253320	348390
421	253986	347877
422	254569	347250
423	255115	346572
424	255624	345845
425	256194	345201
426	256804	344611
427	257481	344111
428	257982	343374
429	258604	342800
430	259170	342152
431	259792	341578
432	260417	341008
433	261083	340490
434	261597	339775
435	262172	339141
436	262800	338573
437	263391	337958
438	264011	337381
439	264610	336776
440	265229	336197
441	265881	335660
442	266544	335135
443	267265	334683
444	267847	334056
445	268450	333456
446	268974	332758
447	269513	332079
448	270025	331367
449	270662	330809
450	271241	330181
451	271855	329594
452	272547	329102
453	273163	328518
454	273736	327881
455	274383	327335
456	274990	326738
457	275584	326128
458	276220	325567
459	276847	324994
460	277360	324289
461	277880	323592
462	278474	322982
463	279045	322346
464	279562	321647
465	280166	321049
466	280717	320390
467	281318	319789
468	281962	319236
469	282594	318669
470	283190	318063
471	283853	317531
472	284423	316894
473	285038	316308
474	285637	315704
475	286225	315088
476	286738	314390
477	287349	313799
478	287891	313134
479	288587	312636
480	289281	312135
481	289944	311599
482	290562	311016
483	291191	310443
484	291755	309801
485	292397	309243
486	293067	308714
487	293717	308162
488	294376	307620
489	294983	307023
490	295613	306451
491	296250	305884
492	296816	305245
493	297404	304629
494	298014	304034
495	298671	303488
496	299308	302921
497	300018	302428
498	300645	301850
499	301359	301359
500	301890	300684
501	302531	300121
502	303225	299608
503	303873	299050
504	304536	298506
505	305199	297961
506	305740	297297
507	306315	296667
508	306964	296109
509	307569	295508
510	308158	294891
511	308857	294380
512	309368	293688
513	309817	292939
514	310275	292201
515	310723	291453
516	311186	290721
517	311680	290019
518	312274	289410
519	312768	288708
520	313238	287987
521	313728	287284
522	314216	286580
523	314714	285885
524	315237	285214
525	315707	284496
526	316253	283848
527	316792	283193
528	317291	282503
529	317761	281788
530	318280	281117
531	318889	280526
532	319449	279892
533	320072	279314
534	320773	278803
535	321443	278264
536	322073	277691
537	322612	277038
538	323269	276488
539	323943	275952
540	324622	275419
541	325226	274822
542	325865	274254
543	326524	273704
544	327119	273100
545	327772	272543
546	328394	271960
547	328977	271346
548	329750	270887
549	330397	270325
550	330996	269723
551	331481	269028
552	332067	268416
553	332684	267828
554	333400	267321
555	334015	266732
556	334533	266065
557	335128	265460
558	335767	264890
559	336426	264335
560	337013	263723
561	337637	263141
562	338309	262595
563	338941	262018
564	339559	261430
565	340198	260858
566	340812	260268
567	341463	259704
568	342159	259175
569	342788	258594
570	343442	258033
571	344065	257447
572	344711	256879
573	345327	256288
574	346049	255775
575	346741	255240
576	347396	254677
577	348026	254095
578	348691	253538
579	349270	252919
580	349854	252305
581	350462	251707
582	351133	251154
583	351813	250606
584	352409	249999
585	353020	249403
586	353566	248761
587	354146	248143
588	354710	247514
589	355314	246913
590	355875	246282
591	356520	245709
592	357209	245167
593	357846	244588
594	358540	244048
595	359216	243495
596	359843	242909
597	360544	242372
598	361180	241791
599	361695	241130
600	362394	240591
601	363049	240022
602	363719	239463
603	364342	238873
604	364979	238292
605	365586	237691
606	366195	237092
607	366770	236470
