iter	Logloss
0	0.6827998096
1	0.6729963567
2	0.6630884202
3	0.6550580709
4	0.646045676
5	0.6388554713
6	0.6301964118
7	0.623025596
8	0.6151586497
9	0.6084539013
10	0.6021654607
11	0.5960661779
12	0.5902215057
13	0.5841698776
14	0.5785004632
15	0.5732807279
16	0.56767337
17	0.5624377685
18	0.5567257365
19	0.5519721287
20	0.5476026183
21	0.5431751725
22	0.5386874538
23	0.5348642495
24	0.5308945092
25	0.5258479775
26	0.5222824016
27	0.5183930397
28	0.5147389837
29	0.5110563483
30	0.5075757144
31	0.5043653701
32	0.5013558004
33	0.4979385066
34	0.494677856
35	0.491780051
36	0.4889137164
37	0.4857993004
38	0.4823165902
39	0.4796912787
40	0.4761253115
41	0.4739257857
42	0.471244472
43	0.4688277148
44	0.4665267936
45	0.4641017101
46	0.4611714602
47	0.4590972419
48	0.4568884083
49	0.4548292481
50	0.4529624511
51	0.4503798694
52	0.448561133
53	0.4468704884
54	0.4451479699
55	0.4431235193
56	0.4406245194
57	0.4389725291
58	0.4374489073
59	0.4353298226
60	0.4333974475
61	0.4319380992
62	0.4305420208
63	0.429237229
64	0.4277553707
65	0.4261488034
66	0.4245620609
67	0.4233417066
68	0.4221113591
69	0.4208631867
70	0.4190811011
71	0.4176290312
72	0.4162504448
73	0.4149104841
74	0.4138184118
75	0.4124960305
76	0.411221857
77	0.4099197491
78	0.4089598208
79	0.4077482306
80	0.4066035055
81	0.405593786
82	0.4046495831
83	0.4037956578
84	0.4029771686
85	0.4018070477
86	0.4006907144
87	0.3998458992
88	0.3987360099
89	0.3979412914
90	0.3971936305
91	0.396360015
92	0.3953971347
93	0.3945692979
94	0.393549593
95	0.3926904852
96	0.3917521228
97	0.3910442192
98	0.3904146202
99	0.3897800752
100	0.3890688024
101	0.388341077
102	0.3877568488
103	0.3869131433
104	0.3862664401
105	0.3853493871
106	0.3846564612
107	0.38346076
108	0.3828059044
109	0.3817468041
110	0.3810652122
111	0.3803922537
112	0.3796090072
113	0.3789372488
114	0.3783622361
115	0.3778758806
116	0.3767193636
117	0.3762245997
118	0.3756901906
119	0.3751748406
120	0.3746707297
121	0.3740653284
122	0.373268263
123	0.3728627553
124	0.3723900408
125	0.3720021729
126	0.3715193068
127	0.3710455981
128	0.3705864586
129	0.3700999638
130	0.3691211984
131	0.3686795961
132	0.3681800394
133	0.3677749258
134	0.367380439
135	0.3668828645
136	0.3664610188
137	0.3661170472
138	0.3657071984
139	0.3650939938
140	0.3647387975
141	0.3643770346
142	0.3639485178
143	0.3636205016
144	0.3632412557
145	0.3629025536
146	0.3625743717
147	0.3617257739
148	0.3614221012
149	0.3610219103
150	0.3607078317
151	0.3603910788
152	0.3600968783
153	0.3597125157
154	0.3593749164
155	0.3590961369
156	0.3588326367
157	0.3583373478
158	0.3580514341
159	0.3577421154
160	0.3570188574
161	0.3567157832
162	0.3560046556
163	0.3557562239
164	0.3552948376
165	0.3549994432
166	0.3543275472
167	0.3540623775
168	0.3538126434
169	0.3534590358
170	0.3530013814
171	0.3527293017
172	0.352507859
173	0.3522630468
174	0.3520346796
175	0.3518076543
176	0.3516021708
177	0.3513538386
178	0.35112196
179	0.3508957626
180	0.350650941
181	0.3504009283
182	0.3501728751
183	0.3499413445
184	0.3497179235
185	0.3495332641
186	0.3493158317
187	0.3491389932
188	0.3489509737
189	0.3487547078
190	0.3485416109
191	0.3483306191
192	0.3479795628
193	0.3478009267
194	0.3476053619
195	0.3474070652
196	0.3472230815
197	0.3470355722
198	0.3468320537
199	0.3466517186
200	0.3464641559
201	0.3462868134
202	0.3460900137
203	0.3459105355
204	0.3457433594
205	0.3455287593
206	0.3453281306
207	0.3451663457
208	0.3450120931
209	0.3448495448
210	0.3446889459
211	0.3445058982
212	0.3443307787
213	0.3441804441
214	0.3438461816
215	0.3436473605
216	0.3434864134
217	0.3432765983
218	0.3427616482
219	0.3425651877
220	0.3423946914
221	0.3420549974
222	0.34184366
223	0.3417194675
224	0.3415658075
225	0.3413908554
226	0.3411897228
227	0.340885367
228	0.3407358075
229	0.3406104741
230	0.3404672948
231	0.3403461089
232	0.340154188
233	0.3400243286
234	0.3399089654
235	0.3397579898
236	0.3396249146
237	0.3394718781
238	0.339340153
239	0.3391562974
240	0.339030845
241	0.3388888649
242	0.3385309137
243	0.33838655
244	0.3382566956
245	0.338127724
246	0.3378555381
247	0.3377519322
248	0.337624797
249	0.3374970531
250	0.3373954073
251	0.3372991383
252	0.3371802634
253	0.3370306101
254	0.336932915
255	0.3367890981
256	0.3366368839
257	0.3365252324
258	0.336389816
259	0.3362759804
260	0.3359498748
261	0.3358259957
262	0.3356961866
263	0.3355288454
264	0.3354167641
265	0.3349737691
266	0.3346755634
267	0.3345725656
268	0.3344786665
269	0.334344826
270	0.3342469503
271	0.334141779
272	0.334039575
273	0.3339322085
274	0.3338367568
275	0.33371015
276	0.3336108787
277	0.3335317843
278	0.3334336639
279	0.3331151055
280	0.3330003943
281	0.3328124502
282	0.3327315876
283	0.3326312338
284	0.3325039663
285	0.3322016572
286	0.3321023723
287	0.3320264415
288	0.3317304651
289	0.3316117236
290	0.3313565507
291	0.331245722
292	0.3311472785
293	0.331018953
294	0.3309370233
295	0.3307103418
